"","customer_id","loan_request_id","principle_amount_paid","penalty_paid","bank_electronic_repayments_id","bank_electonic_payment_id","amount","credit_date"
"6205",11421,10705,10000,0,9505,9505,10000,"2016-12-20 00:00:00"
"6206",11421,11911,5850,4150,39414,39414,10000,"2017-05-26 00:00:00"
"6207",11423,775,10000,340,884,884,10340,"2016-06-21 00:00:00"
"6208",11423,1552,10000,170,1459,1459,10170,"2016-07-14 00:00:00"
"6209",11423,2004,5000,175,2085,2085,5175,"2016-08-08 00:00:00"
"6210",11423,2068,5000,275,2291,2291,5275,"2016-08-19 00:00:00"
"6211",11423,3080,5000,275,3387,3387,10450,"2016-09-23 00:00:00"
"6212",11423,3343,5000,175,3387,3387,10450,"2016-09-23 00:00:00"
"6213",11423,4692,5000,175,4588,4588,10350,"2016-10-14 00:00:00"
"6214",11423,4865,5000,175,4588,4588,10350,"2016-10-14 00:00:00"
"6215",11423,13177,25000,2336,26504,26504,27336,"2017-04-05 00:00:00"
"6216",11423,28342,30000,1600,47083,47083,31600,"2017-06-16 00:00:00"
"6217",11423,50315,25000,0,75813,75813,25000,"2017-08-09 00:00:00"
"6218",11423,58842,7500,0,88946,88946,7500,"2017-09-07 00:00:00"
"6219",11423,58842,7500,0,105139,105139,7500,"2017-10-09 00:00:00"
"6220",11423,58842,7500,0,119628,119628,7500,"2017-11-04 00:00:00"
"6221",11423,58842,7500,0,135936,135936,7500,"2017-12-01 00:00:00"
"6222",11423,58842,15000,0,151033,151033,15000,"2017-12-26 00:00:00"
"6223",11423,104452,7590,0,174650,174650,7590,"2018-01-24 00:00:00"
"6224",11423,104452,360,0,181350,181350,360,"2018-02-01 00:00:00"
"6225",11423,104452,7950,0,201465,201465,7950,"2018-02-23 00:00:00"
"6226",11423,104452,7950,0,232793,232793,7950,"2018-03-26 00:00:00"
"6227",11472,1350,5000,0,1007,1007,5000,"2016-06-29 00:00:00"
"6228",11472,1836,5000,0,1574,1574,5000,"2016-07-20 00:00:00"
"6229",11472,2475,10000,0,2219,2219,10000,"2016-08-16 00:00:00"
"6230",11472,3091,10000,0,2520,2520,10000,"2016-08-31 00:00:00"
